ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD1177,bleeder syndrome,E,intellectual developmental disorder,C0264520,
ASD1178,impaired heel-to-shin movement,B1,stereotyped motor movements,C2199254,
ASD1179,lesion of face,A2,lack of facial expressions,C0743775,
ASD1180,motor clumsiness,B1,repetitive motor movements,C2673348,
ASD1181,sense of hopelessness,B3,preoccupation,C1821129,
ASD1182,awareness of possible environmental change,B4,unusual interest in sensory aspects of the environment,C4061600,
ASD1183,milestone: makes vowel sounds,B4,adverse response to specific sounds,C3250037,
ASD1184,"syndrome, nocturnal eating-drinking",B2,eat same food,C0752292,
ASD1185,oromotor dysfunction,A2,abnormalities in eye contact,C3281086,
ASD1186,monotone speech,B1,echolalia,C2678421,
ASD1187,harm avoidance behaviour,A3,difficulties adjusting behavior,C0564491,
ASD1188,affective symptoms,A1,reduced sharing of emotions,C0001726,
ASD1189,circling behavior,B2,ritualized patterns of nonverbal behavior,C3668948,
ASD1190,speech involuntary utterances,B1,echolalia,C2018033,
ASD1191,reading comprehension on par with verbal abilities,A2,poorly integrated verbal communication,C1855934,
ASD1192,apraxic,B1,echolalia,C0234520,
ASD1193,using protective head gear,B1,use of objects,C2188835,
ASD1194,milestone: friendly or hostile/aggressive behavior,B2,ritualized patterns of nonverbal behavior,C2198641,
ASD1195,kenny caffey syndrome,E,intellectual developmental disorder,C0265291,
ASD1196,emotional intelligence,A1,reduced sharing of emotions,C1510539,
ASD1197,ability to control aggression,A1,failure to respond to social interactions,C0562567,
ASD1198,syndrome  fatigue,E,intellectual developmental disorder,C1406736,
ASD1199,severe manic bipolar i disorder without psychotic features,E,intellectual developmental disorder,C0236769,
ASD1200,throws a ball,B4,visual fascination with movement,C0517102,
ASD1201,developmental gerstmann's syndrome,E,intellectual developmental disorder,C0936244,
ASD1202,loud thoughts,B3,preoccupation,C0423996,
ASD1203,shows interest in toys,B1,lining up toys,C0517073,
ASD1204,head size,E,intellectual disability,C0424686,
ASD1205,blacks hair,B4,adverse response to specific textures,C0574767,
ASD1206,learning  lack of (specific),A2,lack of nonverbal communication,C1402282,
ASD1207,biting or picking at toenails,B4,excessive touching of objects,C2136127,
ASD1208,impairment psychosocial,A2,deficits in understanding and use of gestures,C0748071,
ASD1209,difficulty constructing things,A3,difficulties in making friends,C0580895,
ASD1210,severe speech impairment,B1,echolalia,C2080708,
ASD1211,loss of purposeful hand movements,B1,repetitive motor movements,C2678185,
ASD1212,narrow face,A2,lack of facial expressions,C1837463,
ASD1213,cold hands feet,B4,excessive touching of objects,C0857073,
ASD1214,social interaction impairment in nonverbal behaviors,A2,nonverbal communication,C4064038,
ASD1215,face rounded,A2,lack of facial expressions,C0239479,
ASD1216,tonic head extension,B1,stereotyped motor movements,C1838054,
ASD1217,self-performance in walking during this episode,B1,repetitive motor movements,C1976769,
ASD1218,heroin abuse,B2,ritualized patterns of verbal behavior,C0600241,
ASD1219,fair (qualifier),B3,highly restricted interests,C2911689,
ASD1220,interacts with parent,B3,strong attachment,C1822048,
ASD1221,abnormal preoccupation tactile defensiveness,B3,preoccupation,C4067225,
ASD1222,early childhood developmental disability,E,intellectual disability,C4274327,
ASD1223,poor language and speech development,A2,abnormalities in body language,C2676166,
ASD1224,dystonic posturing (in some patients),B1,stereotyped motor movements,C4229452,
ASD1225,difficulty hearing speech in large group settings,B1,echolalia,C1828062,
ASD1226,speech limited to single word or no words,B1,idiosyncratic phrases,C1838026,
ASD1227,unable to communicate concerns to provider,A2,lack of nonverbal communication,C1948140,
ASD1228,"disorder, cyclothymic",E,intellectual developmental disorder,C0010598,
ASD1229,speech volume increased,B1,echolalia,C2018122,
ASD1230,inappropriate insulin secretion (in some patients),A1,failure to respond to social interactions,C4015006,
ASD1231,noxious environmental stimuli,B4,unusual interest in sensory aspects of the environment,C4060721,
ASD1232,verbal short-term memory performance,B2,ritualized patterns of verbal behavior,C0561741,
ASD1233,"epilepsy, unspecified, treatment resistant",A1,failure to respond to social interactions,C2712960,
ASD1234,difficulty gripping,A3,difficulties in sharing imaginative play,C0562129,
ASD1235,asperger's syndrome in children,E,intellectual developmental disorder,C3824790,
ASD1236,gait  spastic,B1,repetitive motor movements,C0231687,
ASD1237,nonverbal (in some patients),A2,nonverbal communication,C4011951,
ASD1238,routines/rituals insists on following routines,B2,inflexible adherence to routines,C4064178,
ASD1239,inability to initiate purposeful behavior,A1,failure to initiate social interactions,C4062295,
ASD1240,tendency to walk on toes,B4,visual fascination with movement,C1839651,
ASD1241,visual impairment (patient a),E,intellectual disability,C4227592,
ASD1242,loud cry,B4,visual fascination with lights,C2185952,
ASD1243,syndrome  concussion,E,intellectual developmental disorder,C1399624,
ASD1244,"smiles, laughs, squeals, imitates noise",B4,visual fascination with lights,C0517077,
ASD1245,redirected aggression,B2,ritualized patterns of verbal behavior,C1299956,
ASD1246,difficulty performing required tasks,B2,difficulties with transitions,C4062092,
ASD1247,difficulty expectorating,B2,difficulties with transitions,C0566530,
ASD1248,behavioral instability,A3,difficulties adjusting behavior,C0741457,
ASD1249,"impaired motor control, mild",B1,repetitive motor movements,C4013568,
ASD1250,facial scratching,A2,lack of facial expressions,C4228608,
ASD1251,difficulty manipulating object,B1,use of objects,C0562183,
ASD1252,crouched gait,B1,repetitive motor movements,C0427143,
ASD1253,rapid cycling bipolar i disorder,E,intellectual developmental disorder,C2063820,
ASD1254,difficulty in establishing contact with others,A3,difficulties in making friends,C0517892,
ASD1255,deficit in phonologic short-term memory,A2,deficits in understanding and use of gestures,C1847609,
ASD1256,skin  change,B2,extreme distress at small changes,C1399787,
ASD1257,animal aggressive behavior,B2,ritualized patterns of nonverbal behavior,C0679158,
ASD1258,unable to communicate thoughts,A2,nonverbal communication,C0566180,
ASD1259,self mutilation (in some patients),B3,preoccupation,C4011957,
ASD1260,lack of expected effectiveness,A2,lack of nonverbal communication,C2826201,
ASD1261,mental retardation (average iq 56),E,intellectual disability,C1860291,
ASD1262,speech disability,E,intellectual disability,C1834430,
ASD1263,"shakes, hands trembling",B1,repetitive motor movements,C3844003,
ASD1264,poor verbal skills,A2,poorly integrated verbal communication,C0860102,
ASD1265,repetitive complex twisting movements,B1,repetitive motor movements,C0562469,
ASD1266,gait imbalance,B1,repetitive motor movements,C1836150,
ASD1267,vertical nystagmus,B4,visual fascination with movement,C0271386,
ASD1268,moderate global developmental delay,E,global developmental delay,C2237142,
ASD1269,laron syndrome,E,intellectual developmental disorder,C0271568,
ASD1270,"skill, coping",A2,nonverbal communication,C0086059,
ASD1271,kaufman syndrome,E,intellectual developmental disorder,C0543973,
ASD1272,borderline mental impairment,E,intellectual disability,C0948392,
ASD1273,poor head control,A2,abnormalities in eye contact,C1836038,
ASD1274,delayed fine motor development,E,global developmental delay,C4023681,
ASD1275,language therapy receptive understand conversational speech,B1,echolalia,C2111220,
ASD1276,does initiate words,A1,failure to initiate social interactions,C0564231,
ASD1277,characteristic of aggressive behavior,B2,ritualized patterns of nonverbal behavior,C1285662,
ASD1278,neurodevelopmental impairment (early-onset form),E,global developmental delay,C1970828,
ASD1279,demonstrated behavior stereotypy (automatic behavior),B2,ritualized patterns of verbal behavior,C2165336,
ASD1280,putti's syndrome,E,intellectual developmental disorder,C0263893,
ASD1281,safety behaviour,B2,ritualized patterns of verbal behavior,C1321226,
ASD1282,squeaky cry (rare),B4,visual fascination with lights,C4012444,
ASD1283,difficulty performing normal routines,B2,inflexible adherence to routines,C0237368,
ASD1284,inappropriate speech,B1,echolalia,C1168248,
ASD1285,prenatal complications,E,intellectual developmental disorder,C4060931,
ASD1286,difficulty initiating conversation,A1,failure of normal back-and-forth conversation,C0566069,
ASD1287,impulsive behavior resulting in careless errors or omissions,B1,echolalia,C2048444,
ASD1288,difficulty managing time,A3,difficulties in making friends,C0563499,
ASD1289,display interest in the patient,B4,unusual interest in sensory aspects of the environment,C0510407,
ASD1290,parent-child relationships,A1,social-emotional reciprocity,C0030542,
ASD1291,producing messages in formal sign language,A2,abnormalities in body language,C2371353,
ASD1292,finding relating to aggressive behavior,A1,failure to respond to social interactions,C0562566,
ASD1293,increased hair growth (finding),B4,excessive smelling,C0232410,
ASD1294,catatonic behavior,B2,ritualized patterns of nonverbal behavior,C1866988,
ASD1295,repetitive complex twisting movements of fingers,B1,repetitive motor movements,C0562470,
ASD1296,moderate difficulty,B2,difficulties with transitions,C3843247,
ASD1297,birth  difficult,B2,difficulties with transitions,C0743013,
ASD1298,autism with high cognitive abilities,E,intellectual developmental disorder,C4025832,
ASD1299,steinberg thumb sign,B1,echolalia,C0231677,
ASD1300,change  vascular,B2,extreme distress at small changes,C1410790,
ASD1301,difficulty forming sentences,B1,idiosyncratic phrases,C4062237,
ASD1302,pelvic congestion syndrome,B4,hyporeactivity to sensory input,C0152078,
ASD1303,impaired manual dexterity,B1,repetitive motor movements,C1853712,
ASD1304,receptive language learning disability,E,intellectual disability,C2169672,
ASD1305,progressive language deterioration,A2,abnormalities in body language,C1843793,
ASD1306,difficulty using decision-making strategies,A3,difficulties in making friends,C0582561,
ASD1307,ability to use phonological processes,A2,deficits in understanding and use of gestures,C0564097,
ASD1308,behavior and socialization disturbances,B2,ritualized patterns of nonverbal behavior,C0852548,
ASD1309,hypothalamic dysfunction syndrome,A2,abnormalities in body language,C0751230,
ASD1310,reception of gestural language,A2,abnormalities in body language,C2371933,
ASD1311,social disorder,A1,abnormal social approach,C0850782,
ASD1312,kleine-levin syndrome,E,intellectual developmental disorder,C0206085,
ASD1313,repetitive spinning of objects,B1,use of objects,C0562463,
ASD1314,dump syndrome,B1,echolalia,C0013288,
ASD1315,difficulty in toe walking,A3,difficulties in making friends,C1850809,
ASD1316,hearing abnormality,A2,abnormalities in body language,C4025860,
ASD1317,spoken word recognition deficit,A2,abnormalities in body language,C4072928,
ASD1318,lice in hair,B1,simple motor stereotypies,C2168807,
ASD1319,ability to comprehend,A2,deficits in understanding and use of gestures,C1273101,
ASD1320,separate triphalangeal thumb (in some patients),B1,echolalia,C1861358,
ASD1321,"specific learning disorder, with impairment in reading",E,intellectual developmental disorder,C4237420,
ASD1322,communication: expressive,A2,nonverbal communication,C1822403,
ASD1323,swallowing small object,B4,excessive touching of objects,C2038597,
ASD1324,demonstrated behavior head turning,B2,ritualized patterns of nonverbal behavior,C2165327,
ASD1325,constantly crying,B2,ritualized patterns of nonverbal behavior,C0558077,
ASD1326,thinking reduced,B2,rigid thinking patterns,C0858605,
ASD1327,staphylococcal scalded skin syndrome,A2,abnormalities in body language,C0038165,
ASD1328,mixed specific developmental disorders,E,intellectual developmental disorder,C0494428,
ASD1329,sensory discomfort,B4,hyper-reactivity to sensory input,C0234215,
ASD1330,moderate expressive language delay,E,global developmental delay,C3532933,
ASD1331,carbohydrate intolerance,B4,adverse response to specific textures,C1401162,
ASD1332,ent surgical result speech worsened,B1,echolalia,C2137067,
ASD1333,mood disorder  medical condition,B1,echolalia,C1410011,
ASD1334,slow  behavior,B2,ritualized patterns of nonverbal behavior,C1398206,
ASD1335,motor coordination or function  developmental disorder,E,intellectual developmental disorder,C1404370,
ASD1336,impairment of gross and fine motor coordination,A2,deficits in understanding and use of gestures,C3280825,
ASD1337,slow gait,B1,repetitive motor movements,C1851908,
ASD1338,"developmental delay, mild to severe",E,global developmental delay,C2673867,
ASD1339,charcots gait,B1,repetitive motor movements,C0231693,
ASD1340,partington x-linked mental retardation syndrome,E,intellectual disability,C0796250,
ASD1341,mild distal sensory impairment (in some),B4,unusual interest in sensory aspects of the environment,C3151734,
ASD1342,medication dose changed,B2,extreme distress at small changes,C1608430,
ASD1343,"phenotype, antley-bixler syndrome",E,intellectual developmental disorder,C2350233,
ASD1344,merrf syndrome,E,intellectual developmental disorder,C0162672,
ASD1345,thought and thinking,B2,rigid thinking patterns,C3825596,
ASD1346,minimal hair growth,B3,strong attachment,C1970699,
ASD1347,weak eyes,A2,abnormalities in eye contact,C0743738,
ASD1348,baraitser brett piesowicz syndrome,E,intellectual developmental disorder,C2931662,
ASD1349,behavioral / psychiatric disorder,E,intellectual developmental disorder,C3841734,
